artist_name,title,description,permalink,user_tags,clusters
Du Zhenjun,The Tower of Babel: Independence of the country," The Tower of Babel is an installation of large-format photographs that forces the audience to occupy a central position through its monumental scale. These photographs present a series of urban landscapes and assembled Foucauldian structures of the present. Du sees the Tower of Babel as a continually reinvented narrative that warns people of “dangerous tendencies in the present time.” Du’s Babylonian towers resurrect from fallen rubbles of religious history in grand scale to focus on modern crises of civilization. Though the theme began with the struggle of monotheism over linguistic and geographic diversity in early human history, Babel in Du’s work has become a contemporary vision of catastrophic threat to the future of humanity. 
",https://kadist.org/work/the-tower-of-babel-independence-of-the-country/,"power.n.01,tower_of_babel.n.01,catastrophe.n.02,future.n.01,civilization.n.01,urban.a.01","Imagination, Time, Politics"
Jiang Pengyi,Unregistered City series #1 #2 #7,"  Unregistered City  is a series of eight photographs depicting different scenes of a vacant, apparently post-apocalyptic city: Some are covered by dust and others are submerged by water. Yet, ambiguous lights blink from buildings and yachts still sail on the water, and further observation reveals these structures to be miniatures manipulated by the artist through Photoshop and other postproduction image tools. The model city’s surroundings are themselves real abandoned spaces, perhaps an empty room, a wait-to-be demolished building, or a discarded bathtub. In this way,  Unregistered City  is a double play on a dystopia vision of urbanization: It is an imagined city built upon the actual ruins of cities and human life. Through a dark and entropic undertone and estranged urban arrangements, the artist does not just critique, but poses fundamental questions. 
   
",https://kadist.org/work/unregistered-city-series-1-2-7/,"fake.n.01,dystopia.n.02,ruin.n.02,city.n.01,apocalypse.n.01,imagine.v.01","Imagination, Land"
Eleanor Antin,100 Boots," Comprised of fifty-one photographic postcards, Antin’s  100 Boots  is an epic visual narrative in which 100 black rubber boots stand in for a fictional “hero” making a “trip” from California to New York City. Over two-and-a-half years, Antin photographed the boots against different backdrops across the U.S., and then turned the pictures into postcards, which she then mailed to approximately 1,000 people around the world. In conjunction with the boots’ “arrival” in New York City, the postcards were exhibited at the Museum of Modern Art. The project speaks not only to the reproduction and dissemination of images, but also about how the material reality of the images—their settings and their existence in mailboxes—was in stark contrast to the everyday lives of the people who received the cards. As with all “mail art” which had begun with the Fluxus movement in the late 1950s and was on the rise in the late 1960s, using the postal service enabled artists to completely bypass the traditional art-world distribution system, and allowed Antin to expand or compress time as the narrative required. 
   
",https://kadist.org/work/100-boots/,"hero.n.02,distribution.n.03,journey.n.01,materiality.n.02,bypass.v.01,stand-in.n.01","Community, Politics, Economy"
Mathilde Rosier,Far from Honolulu," Rosier’s body of films, gleam with that indeterminate in-between glow of twilight. Things hardly move at all in her films. They are, quite simply, often without plot, without spoken voice and without narrative elements. Such is the case of  Far from Honolulu  (2003), a film exploring the plight of intuition and emotion inside the idea of the sea journey. In the film, a pensive and reflective man is depicted playing guitar at sea as well as from inside a boat looking outward. Airy and divine-like, he is shown sleeping, in a trance state, staring out to the ocean, waiting for the journey to pass, progress, in order to arrive somewhere, but where? There is mention of Recife, Brazil, but one gets the sense that figure and place is almost other-worldly or mythic. This is further highlighted by the repetitious sound of the ocean’s waves. The ending of the film is quite arbitrary, expressing a clear desire to not illustrate an end or a narrative, but another kind of vacant agency close to immediacy and the present. 
",https://kadist.org/work/far-from-honolulu/,"fantastic.s.05,water_travel.n.01,immobility.n.02,repetition.n.02,cinematic.a.01,nostalgia.n.01","Imagination, Time, Mind"
Brenna Youngblood,Red Door," Brenna Youngblood’s chromogenic print  Red Door  (2007) is representative of the artist’s interest in conceptual photography; she also works in multimedia collage and assemblage, drawing imagery from the everyday and giving new meanings to seemingly mundane objects and places. The image of a red door inspires a tension between potential meaning and purposeful ambiguity, leaving the viewer to wonder about her formal decisions. The color red on a door is often used to symbolize good luck, and in almost every culture, means welcome. Some say a red door was a sign of a safe house on the Underground Railroad. 
",https://kadist.org/work/red-door/,"ambiguous.a.02,meaning.s.01,everyday.s.03,welcome.n.01,symbolism.n.01,safety.n.02",Immaterial
Dominique Zinkpè,Cosmos animiste," Dominique Zinkpès works with a wide range of materials, from jute to used cars to “hôhô” figures, which come from the Cult of Twins in southern Benin as a voodoo religion symbole of fertility. His portfolio is continually morphing between mediums and subjects, tackling issues such as intimacy, sex, the sacred and the profane while linking ancestral culture with the contradictions found in today’s world. These sketches of tumultuous human drama are infused with elements of irony and satire to reveal Zinkpè’s most disturbing and arresting constructs of the imagination. In  Cosmos Animiste , Dominique Zinkpé presents a world of ghosts. They show the transformation that people, animals and vegetation undergo, through contact with their environment – an animistic idea. Borrowing from dreams and the world of the spirits, the quasi-human characters in this painting hover above a modern city, and seem agitated in a battle involving desire and metamorphosis. The strange, hybrid beings — both man and animal — engage in scenes of dance, evoking the transcendental power play deeply rooted in Benin culture vis-à-vis games of masquerade, sex and gender. Energetic in its lively colors but at the same time through fragile drawing, reminiscent of graffiti (a big inspiration for Dominique Zinkpé), this painting reminds one of hastily scribbled notes. This little scenery could disappear at once, as it was an epiphany. Drawing from the aesthetic currents and beliefs of the past, this painting underscores unresolved tensions that have arisen from the fusion of Catholicism, animism, and indigenous traditions, with contemporary culture. 
",https://kadist.org/work/cosmos-animiste/,"ghost.n.03,latent_hostility.n.01,fusion.n.01,sex.n.04,contradiction.n.01,metamorphosis.n.03","Body, Immaterial"
Hans Peter Feldmann,Teapot with shadow," The types of objects Feldmann is interested in collecting into serial photographic grids or artists books are often also found in three dimensional installations. Against authorship and the commodification of art, he never gives titles or dates to his works which have infinite edition possibilities. This mise en scène of found kitchenware also exists with a rounder and flatter plain modern white porcelain teapot.  
The mode of display is paired down to the simplest form of a plain square plinth that nevertheless conveys artistry, as does the addition of the cut piece of cardboard signifying a shadow. This recalls his large scale actual Shadow Play for the Venice Biennale in 2009. Feldmann has described his memories of working as a waiter and the lasting impression of the chairs propped up on the tables at the end of day and left the art world in the 1980s to work in a gift store with his wife. work, like hat with photoand pair of shoes also in the collection, is loaded with art historical references and irreverence through a simple assembly of an object and a classic artistic trick. 
",https://kadist.org/work/teapot-with-shadow/,"irreverent.a.01,kitchenware.n.01,plain.a.02,dateless.s.03,shadow.n.01,gather.v.01",Immaterial
Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)","  Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)  is a visually compelling photogram. Bold shapes, and the breaks between them, create a rhythm and compose an engaging abstract image. At the same time, the work deals with the conditions of the photograph’s manufacture. The literal production of a photograph—the process of photo developing and printing—is the work’s subject, and Beshty slyly points to the ways in which these material processes possess their own aesthetic appeal and content. 
   
",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/,"materiality.n.02,development.n.08,abstraction.n.04,color.n.08,geometric.s.01,rhythm.n.02",Materiality
Miri Segal,"BRB (""be right back"")"," The work  BRB  is a 30 min. journey in the new game world of Second Life (“SL”). Consistent with Segal’s work with the projected image, this video was shot using a virtual in-world camera, with the footage later being transformed by a software custom designed by the artist. The video explores the idea of masks we wear in SL and real life (“RL”), and the differences in communication within those two worlds. When somebody speaks, his or her avatar is seen typing, a mechanical ticking sound is heard, and words appear as text on the screen, strengthening the feeling that the conversation is taking place inside of our head. The video creates a new relation to the body and a new form of intimacy. We seem to engage this new form by chance, using the games search engine Segal’s avatar sometimes appears with a Google search page as a mask, perhaps as a salute to another icon of cyber culture. With  BRB , roaming in SL is like wandering inside our collective sub-conscious. 
",https://kadist.org/work/brb-be-right-back/,"closeness.n.01,virtual_reality.n.01,human_body.n.01,communication.n.01,conversation.n.01,subconscious.s.01","Technology, Body, Mind"
Diana Thater,Perpetual Motion Two," In  Perpetual Motion  (2005) the seemingly erratic flight of the bright orange Monarch butterfly—filmed in its winter habitat of Michoacán, Mexico—is intensified by the artist’s editing in which frames are randomly dropped and the film is sped up. As a result, the butterflies become hyper-real and animated in appearance. The manipulated footage is presented in a video wall of nine monitors, where the butterflies flit from screen to screen, in a room bathed in vivid orange light. 
 
",https://kadist.org/work/perpetual-motion-two/,"accelerate.v.01,nature.n.03,perception.n.03,flit.n.01,setting.n.02,motion.n.06","Environment, Body"
